                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
WTC   WRC SAB 14 SAB 17 SAB 17 SAB 18 SAB 15   WRC SAB 10 SAB 17 SAB 13 SIP 15 SAB 20 - - - . 4 - - 02 --
WTC   AST SAB 14 SAB 17 SAB 17 SAB 18 SAB 15   WRC SAB 10 SAB 17 SAB 13 SIP 15 SAB 20 - - - . 4 - - 02 --
WTC   AST SAB 14 SAB 17 SAB 17 SAB 18 SAB 15   AST SAB 10 SAB 17 SAB 13 SIP 15 SAB 20 - - - . 4 - - 02 --
TSR   AST SAB 14 SAB 17 SAB 17 SAB 18 SAB 15   AST SAB 10 SAB 17 SAB 13 SIP 15 SAB 20 - - - . 4 - - 03 --
TSR   AST SIP 14 SAB 17 SAB 17 SAB 18 SAB 15   AST SAB 10 SAB 17 SAB 13 SIP 15 SAB 20 - - 1 . 4 - - 03 --
TSR   AST SIP 14 SAB 17 SAB 17 SIP 19 SAB 15   AST SAB 10 SAB 17 SAB 13 SIP 15 SAB 20 - 4 1 . 4 - - 03 --
TSR   AST SIP 14 SAB 17 SAB 17 SIP 19 SAB 15   AST SIP 10 SAB 17 SAB 13 SIP 15 SAB 20 - 4 1 . 4 1 - 03 --
TSR   AST SIP 14 SAB 17 SAB 17 SIP 19 SAB 15   AST SIP 10 SAB 17 SAB 13 SIP 15 SIP 20 - 4 1 . 4 1 5 03 --
TSR   WTR SIP 14 SAB 17 SAB 17 SIP 19 SAB 15   AST SIP 10 SAB 17 SAB 13 SIP 15 SIP 20 - 4 1 . 4 1 5 03 --
TSR   WTR SIP 14 SAB 17 SAB 17 SIP 19 SAB 15   WTR SIP 10 SAB 17 SAB 13 SIP 15 SIP 20 - 4 1 . 4 1 5 03 --
